"","logFC","logCPM","F","PValue","FDR"
"2L52.1",-0.255174568810899,1.52414451844823,0.245642786256351,0.632558771753463,1
"aagr-1",-0.357915237551883,5.95505231376555,1.55100094916837,0.245802085693613,1
"aagr-2",-0.213449144268792,7.01710908824287,0.884802336984614,0.372520233227806,1
"aagr-3",-0.207195723487224,7.22363222482707,0.798546662061208,0.395811225993565,1
"aagr-4",0.784723325298853,6.31019461855732,7.22679013763406,0.0258293567379104,1
"aak-1",0.472714413020159,4.27232248657832,2.7569211832644,0.132720609400845,1
"aak-2",-0.127224670761928,4.4818033429334,0.273658823660734,0.614077245310944,1
"aakb-1",1.24514486700761,2.92783910252149,5.34060006291147,0.0473987066035341,1
"aakb-2",0.077826240753788,4.0612854903794,0.0807240970490455,0.783030272785821,1
"aakg-1",0.127227154649742,5.82463013623432,0.336193842147756,0.576884562679308,1
"aakg-2",0.300069297253444,3.58743400018065,0.59633132838736,0.460644285569956,1
"aakg-3",-0.263849746924574,0.775135840296521,0.161044565548947,0.697970277395778,1
"aakg-4",-0.56115600711957,2.4753109334546,1.85498872161058,0.207757688017571,1
"aakg-5",-0.241506796306395,4.50939047702583,0.536151447237153,0.483479607800668,1
"aap-1",-0.0122573104601013,4.42958955586941,0.00181017448451609,0.967033263022994,1
"aars-1",-0.459726579482706,3.6602111483072,2.28089411021865,0.166757914772041,1
"aars-2",0.650620411606762,7.39658319654,10.1730240964402,0.0116482080823293,1
"aass-1",-0.166082880458097,6.09752457471329,0.0824478806769989,0.78178940874461,1
"aat-1",0.632983261055621,1.7244069245215,1.42093731258237,0.26505652814897,1
"aat-2",-0.194960144721327,2.15937235563873,0.136106247314206,0.721088433215261,1
"aat-3",0.0720479833191896,2.5522925237893,0.0129705413376327,0.911936763536384,1
"aat-4",-0.779169231255419,2.04872757611099,0.906367018126121,0.367030609501411,1
"aat-5",-0.422471468725212,1.35640823203593,0.68128421261915,0.431411792976806,1
"aat-6",-0.894268273982371,3.31001667607438,2.37884685019863,0.158887178525802,1
"aat-8",0.687736081021817,1.02629285249419,0.332663734526228,0.57900492703312,1
"aat-9",0.187242109122521,3.19737695112387,0.297070024485522,0.59955179028886,1
"abce-1",-0.018466669040783,6.32609278519013,0.00577139796899395,0.941178444275989,1
"abcf-1",-0.0800712740727707,5.70756898346234,0.119490246769074,0.737880478520453,1
"abcf-2",-0.14322337421635,7.83996901232031,0.342488953828143,0.573406324424488,1
"abcf-3",-0.130159844072231,6.6811160104361,0.331139928248686,0.57970922878525,1
"abf-5",-0.285000232390969,0.401311310301593,0.158798950889754,0.699962387594886,1
"abf-6",-0.23853821638647,0.285357066392874,0.130280917134663,0.726834966697215,1
"abhd-11.2",0.5784761440309,2.81572506487897,2.15888541803658,0.177302687511286,1
"abhd-12",0.212734129697983,5.93778392372155,0.726313429369299,0.41714798273186,1
"abhd-14",0.653042130424006,1.82040855838208,0.563843101056816,0.472731326650217,1
"abhd-3.1",0.0889236386611848,4.28875633037012,0.106829553239518,0.751585562857387,1
"abhd-3.2",0.19165840582561,3.50090017339967,0.0244221441274281,0.880246324859866,1
"abhd-5.1",1.46992480359395,2.03904659111053,5.11996658428323,0.0512217337952669,1
"abhd-5.2",1.17211280975174,3.89613662753626,4.50857135154316,0.0643837545851847,1
"abi-1",-0.300586062920876,5.29420951083092,1.07723433691455,0.327575887088941,1
"abl-1",-0.0556714327372882,4.08418164463839,0.0144683125428383,0.907016927116537,1
"abt-1",0.247493383851373,2.37909724613376,0.282808268451262,0.739514692176133,1
"abt-2",-0.248239666003806,4.97993115471794,0.638612823408544,0.445690672892482,1
"abt-4",0.415078162390673,6.70304524727592,1.18860035174361,0.305171981770562,1
"abt-5",-0.0408789614919274,2.92177379082174,0.0100878947917754,0.92229514458898,1
"abtm-1",-0.338278840063633,4.29048619145182,1.26411515171819,0.2912306983099,1
"abts-1",-0.499244073844989,6.16292755611627,3.00573448687679,0.118513177037962,1
"abts-2",0.193459617076338,0.800823490787092,0.11897443142729,0.738422392796588,1
"abts-3",0.293164528115057,3.67121609038776,0.405854787882932,0.540641976756821,1
"abts-4",0.287258056676279,3.67278944763591,0.779993925451338,0.401121502027468,1
"abu-1",0.278227623535541,4.30212134054042,0.141848094985117,0.717033739140273,1
"abu-10",-0.199838617733289,3.21273490403607,0.0937863011635281,0.766690817766788,1
"abu-11",0.0601858136608263,2.98322500353302,0.00776313413276991,0.931813885993863,1
"abu-12",0.894811603723834,4.43367954567992,0.852874493971446,0.386599111899456,1
"abu-13",0.621324220194513,5.16996238758884,0.409982489105212,0.542449636851022,1
"abu-14",-1.06476772189403,5.33695895244003,1.35726383786182,0.282336450547181,1
"abu-15",-0.138377192340657,3.74245418172165,0.04454521800991,0.837804505102059,1
"abu-2",0.829830202925016,-0.521944770784205,0.349762436285063,0.569441534060571,1
"abu-4",2.23237458151797,1.24274782245813,9.13922318878444,0.017466052939837,1
"abu-5",-1.79581956215136,0.384507781607967,0.0885398271660291,0.778016376482294,1
"abu-6",-0.151487324234942,3.57784356106682,0.0519027588225594,0.825124222119079,1
"abu-7",0.144295995506435,3.7665347374404,0.0391472830062175,0.848210088261663,1
"abu-8",-0.442906309034727,4.63123289290731,0.584569238235583,0.46642265057357,1
"AC3.5",0.188788780979321,6.24467124987463,0.188990683118393,0.67478827986217,1
"AC7.3",-0.258882550110875,0.466209221991523,0.0854203210714493,0.776999649083585,1
"AC8.10",-0.139379263757225,2.08217459454162,0.104183146355942,0.754563691378936,1
