GeneName,logFC,pval,padj
IFNL1,0,0,0
IFNL2,0,0,0
IFNL3,0,0,0
IFNB1,0.38762,0,0
IFNL4,0,0,0
CCL5,0,0,0
CCL4,2.11189,0,0
TLR3,0.3227,0.376197857,0.376197857
IL23A,2.67292,6.55E-10,6.55E-10
CCL22,0.28917,0,0
LGALS9,1.37529,4.01E-05,4.01E-05
IFIT2,1.03186,0.000324206,0.000324206
OASL,1.05932,0,0
IFIT3,0.5497,0.166084955,0.166084955
RSAD2,0,0,0
OAS2,0.32857,0,0
MX1,0.23343,0,0
IFIT1,0.75816,0.065133507,0.065133507
GBP1,-0.35044,0.383316254,0.383316254
TRIM22,-0.06314,0.894293749,0.894293749
MX2,-0.02925,0,0
IRF1,2.18976,1.92E-28,1.92E-28
IRF7,2.0135,0,0
STAT1,0.7892,9.83E-13,9.83E-13
ISG20,0.25242,0.562884805,0.562884805
STAT2,0.27898,0.29287968,0.29287968
ISG15,0.2583,0.584668883,0.584668883
BST2,-0.50947,0,0
IFITM1,0.29465,0,0
IFITM3,0.17022,0,0
EIF2AK2,0.02863,0.907667632,0.907667632
SAMHD1,0.05852,0.913264399,0.913264399
OAS1,-0.4756,0.048547306,0.048547306
OAS3,-0.20476,0.298728491,0.298728491
TRIM5,-0.13008,0.527648295,0.527648295
PML,0.57394,0.005683808,0.005683808
IFITM2,1.41275,0.000159622,0.000159622
GBP5,0.15316,0,0
CCL20,7.27596,0,0
ICAM1,3.05828,2.39E-19,2.39E-19
CCL3,0,0,0
NMI,-0.03656,0.918096319,0.918096319
CSF1,1.46144,0,0
IL1RAP,0.22865,0.570178043,0.570178043
CX3CL1,0.51231,0,0
VCAM1,-0.02925,0,0
ITGAM,0.33304,0.341982723,0.341982723
PTAFR,0.258,0,0
LBP,3.85041,3.27E-20,3.27E-20
CCL2,2.83672,3.54E-24,3.54E-24
REL,2.62076,5.18E-15,5.18E-15
XAF1,0.28917,0,0
GBP4,0,0,0
EGR1,8.18398,0,0
CASP1,-0.16251,0,0
SP100,-0.51952,0.029668868,0.029668868
B2M,0.33587,8.80E-05,8.80E-05
TRIM21,-0.42457,0.109999042,0.109999042
HLA-F,1.43629,7.88E-08,7.88E-08
GBP2,-0.32071,0.196150167,0.196150167
FYN,-1.10882,0,0
NOD2,0.32896,0,0
MT2A,-0.65081,0.078455575,0.078455575
IFI35,0.16107,0.687346811,0.687346811
HLA-B,2.88602,2.80E-106,2.80E-106
FGB,2.40114,2.12E-58,2.12E-58
CXCL10,0,0,0
IL6,1.81478,0,0
TNF,3.78775,0,0
CXCL9,0,0,0
ZC3H12A,2.25043,1.15E-33,1.15E-33
GBP3,0.50297,0.247834174,0.247834174
IL12A,0.25505,0.660077035,0.660077035
DUOX2,-0.56113,0,0
CXCL11,0.38762,0,0
CXCL2,6.61131,4.85E-258,4.85E-258
CXCL3,5.43728,0,0
IL1A,3.27058,0,0
IL1B,-0.19885,0,0
IRAK2,0.76167,1.47E-09,1.47E-09
JUN,1.52947,2.51E-107,2.51E-107
TNFRSF9,-0.08477,0.754388323,0.754388323
TNFRSF1B,0.55186,0,0
IL20RB,0.90597,0.111555055,0.111555055
F3,0.07571,0.912957696,0.912957696
IL4R,0.87684,8.75E-05,8.75E-05
TNFRSF10A,-0.09657,0.526587176,0.526587176
KIT,-0.04114,0,0
THBS1,-1.08712,6.48E-18,6.48E-18
TNFRSF11B,-0.51175,0,0
CXCL1,5.24585,0,0
FOS,2.89916,1.29E-45,1.29E-45
SELE,3.9286,0,0
NGFR,2.50065,0,0
PTGS2,2.41097,2.31E-83,2.31E-83
LAMP3,0.31269,0,0
CD274,-0.14561,0,0
NFKBIA,3.18695,0,0
CSF3,2.568,0,0
TNFSF13B,0.06157,0,0
IL7R,-0.17307,0,0
KMO,-0.36419,0,0
KLF4,0.61301,0.000207829,0.000207829
CEACAM1,-0.80038,8.90E-06,8.90E-06
CD38,-0.35332,0.144271101,0.144271101
PNPT1,-0.04793,0.850479679,0.850479679
BIRC3,0.75563,0.000151766,0.000151766
NKX3-1,0.9281,0.004793233,0.004793233
EREG,2.45057,3.62E-62,3.62E-62
SOCS3,2.22887,1.14E-29,1.14E-29
