"","gene_id","symbol"
"1","171590","homt-1"
"2","171591","nlp-40"
"3","171592","rcor-1"
"4","171593","sesn-1"
"5","171594","pgs-1"
"6","171595","Y48G1C.5"
"7","171597","Y48G1C.6"
"8","171599","pid-2"
"9","171601","rab-11.1"
"10","171602","rpl-7"
"11","171603","F53G12.9"
"12","171604","F53G12.8"
"13","171605","col-45"
"14","171606","spe-8"
"15","171607","mex-3"
"16","171608","bli-3"
"17","171609","ptr-11"
"18","171610","cest-27"
"19","171611","F56C11.3"
"20","171613","puf-10"
"21","171615","snpc-3.2"
"22","171616","marc-4"
"23","171617","ztf-3"
"24","171618","C53D5.1"
"25","171619","C53D5.5"
"26","171621","xpo-2"
"27","171622","nol-14"
"28","171623","daf-25"
"29","171624","mbtr-1"
"30","171625","Y48G1A.2"
"31","171626","R119.1"
"32","171627","rnp-8"
"33","171628","R119.3"
"34","171630","taf-4"
"35","171631","R119.5"
"36","171633","otub-2"
"37","171634","C07F11.2"
"38","171635","tol-1"
"39","171636","W04C9.4"
"40","171637","cutl-13"
"41","171638","W04C9.2"
"42","171639","haf-4"
"43","171640","Y65B4BL.3"
"44","171641","Y65B4BL.4"
"45","171642","deps-1"
"46","171643","acs-13"
"47","171644","Y65B4BL.1"
"48","171645","psf-3"
"49","171646","icd-2"
"50","171647","wwp-1"
"51","171648","lpr-1"
"52","171649","grl-16"
"53","171650","hum-7"
"54","171652","eme-1"
"55","171653","sago-2"
"56","171654","vps-20"
"57","171655","Y65B4A.2"
"58","171656","cus-2"
"59","171657","Y65B4A.8"
"60","171658","Y65B4A.9"
"61","171659","hasp-2"
"62","171660","ptp-5.3"
"63","171661","Y18H1A.4"
"64","171662","Y18H1A.2"
"65","171663","hgap-1"
"66","171664","rec-1"
"67","171665","pif-1"
"68","171666","Y18H1A.9"
"69","171667","Y18H1A.8"
"70","171668","T06A4.3"
"71","171669","T06A4.1"
"72","171670","zfh-2"
"73","171671","ZC123.1"
"74","171672","ZC123.4"
"75","171674","Y95B8A.6"
"76","171675","gpa-16"
"77","171676","Y95B8A.2"
"78","171677","mig-1"
"79","171678","cutl-20"
"80","171679","hmbx-1"
"81","171680","madf-6"
"82","171681","spp-17"
"83","171682","mrpl-38"
"84","171683","spd-1"
"85","171684","Y34D9A.3"
"86","171685","glrx-10"
"87","171687","gsa-1"
"88","171688","R06A10.4"
"89","171689","ceh-45"
"90","171691","aps-3"
"91","171692","rpl-17"
"92","171693","Y48G8AL.7"
"93","171694","haf-6"
"94","171696","smg-2"
"95","171697","nsun-2"
"96","171698","Y48G8AL.12"
"97","171699","Y48G8AL.13"
"98","171700","herc-1"
"99","171702","Y48G8AR.2"
"100","171704","K12C11.1"
"101","171705","set-29"
"102","171706","Y92H12BR.2"
"103","171707","Y92H12BR.3"
"104","171709","Y92H12BR.4"
"105","171710","mrpl-15"
"106","171711","F37F2.2"
"107","171712","spe-15"
"108","171713","F47G6.3"
"109","171714","acs-16"
"110","171715","dyb-1"
"111","171716","Y92H12A.5"
"112","171719","Y92H12A.2"
"113","171720","Y92H12A.t1"
"114","171722","src-1"
"115","171723","aatf-1"
"116","171724","Y73E7A.6"
"117","171725","Y73E7A.1"
"118","171726","Y73E7A.8"
"119","171727","mab-20"
"120","171728","pqn-88"
"121","171729","Y71G12B.18"
"122","171730","Y71G12B.17"
"123","171731","Y71G12B.23"
"124","171734","ubc-3"
"125","171735","atg-5"
"126","171736","tln-1"
"127","171737","mppa-1"
"128","171738","Y71G12B.10"
"129","171739","lin-65"
"130","171740","Y71G12B.25"
"131","171742","Y71G12B.26"
"132","171743","ddx-27"
"133","171744","Y71G12B.6"
"134","171745","Y71G12B.27"
"135","171746","pghm-1"
"136","171747","chaf-2"
"137","171748","Y71G12B.28"
"138","171749","C53H9.2"
"139","171750","rpl-27"
"140","171751","egl-30"
"141","171752","emr-1"
"142","171753","nlp-12"
"143","171755","tag-96"
"144","171756","scm-1"
"145","171758","tub-2"
"146","171759","Y71G12A.4"
"147","171761","Y51F10.7"
"148","171762","Y37E3.1"
"149","171763","rpb-10"
"150","171764","moag-4"
"151","171765","arl-13"
"152","171766","rla-1"
"153","171767","Y37E3.8"
"154","171768","phb-1"
"155","171769","eif-2alpha"
"156","171770","pcyt-2.1"
"157","171771","iglr-3"
"158","171773","fpn-1.1"
"159","171774","npp-13"
"160","171775","Y37E3.17"
"161","171776","afd-1"
"162","171777","W03F11.5"
"163","171778","ule-1"
"164","171779","dct-9"
"165","171780","W03F11.4"
"166","171781","slc-17.6"
"167","171782","abt-2"
"168","171783","Y39G10AL.1"
"169","171784","cdk-7"
"170","171785","Y39G10AR.11"
"171","171786","tpxl-1"
"172","171787","epg-2"
"173","171788","icp-1"
"174","171789","Y39G10AR.9"
"175","171790","nsun-4"
"176","171791","tbca-1"
"177","171792","eif-2gamma"
"178","171793","mcm-4"
"179","171794","Y39G10AR.15"
"180","171795","Y39G10AR.16"
"181","171797","dot-1.1"
"182","171798","zwl-1"
"183","171799","F23C8.13"
"184","171800","F23C8.5"
"185","171801","did-2"
"186","171802","F23C8.8"
"187","171803","tipn-1"
"188","171804","ubxn-1"
"189","171805","inx-19"
"190","171806","Y74C10AL.2"
"191","171807","abtm-1"
"192","171808","Y74C10AR.2"
"193","171809","eif-3.I"
"194","171810","Y23H5B.6"
"195","171811","Y23H5B.5"
"196","171812","Y23H5B.7"
"197","171813","ssp-19"
"198","171814","aat-5"
"199","171816","ptr-12"
"200","171817","K07A3.3"
"201","171818","ctn-1"
"202","171819","pid-3"
"203","171820","Y23H5A.2"
"204","171821","cars-1"
"205","171822","cars-2"
"206","171824","F40E3.5"
"207","171827","F32B5.6"
"208","171828","F32B5.7"
"209","171829","cpz-1"
"210","171830","msrp-1"
"211","171831","F32B5.1"
"212","171832","lin-17"
"213","171833","dnj-30"
"214","171834","snr-7"
"215","171835","yop-1"
"216","171836","Y71F9B.2"
"217","171837","lron-11"
"218","171838","plk-2"
"219","171839","Y71F9B.9"
"220","171840","sop-3"
"221","171841","Y71F9B.13"
"222","171842","W03D8.9"
"223","171843","W03D8.10"
"224","171844","W03D8.2"
"225","171846","itx-1"
"226","171847","W03D8.5"
"227","171848","W03D8.3"
"228","171849","pop-1"
"229","171850","W10C8.5"
"230","171852","Y71F9AL.10"
"231","171853","rpl-1"
"232","171854","Y71F9AL.9"
"233","171855","Y71F9AL.8"
"234","171856","dnc-5"
"235","171857","arx-1"
"236","171858","Y71F9AL.25"
"237","171859","Y71F9AL.6"
"238","171860","copa-1"
"239","171861","Y71F9AL.4"
"240","171863","Y71F9AL.2"
"241","171864","Y71F9AL.1"
"242","171865","trap-1"
"243","171866","nxt-1"
"244","171867","cogc-3"
"245","171868","bam-2"
"246","171869","supr-1"
"247","171870","dnj-28"
"248","171872","mek-2"
"249","171873","col-48"
"250","171874","Y54E10BR.4"
"251","171875","Y54E10BR.3"
"252","171876","sec-11"
"253","171877","rpb-7"
"254","171878","Y54E10BR.2"
"255","171879","mod-5"
"256","171880","ztf-23"
"257","171881","pign-1"
"258","171882","arx-7"
"259","171883","riok-1"
"260","171884","nhr-64"
"261","171885","C45E1.4"
"262","171886","lpd-6"
"263","171887","dscc-1"
"264","171888","vbh-1"
"265","171889","mrpl-17"
"266","171890","Y54E10A.6"
"267","171891","dnc-6"
"268","171892","Y54E10A.10"
"269","171893","Y54E10A.11"
"270","171894","syp-5"
"271","171895","fog-1"
"272","171896","cdt-1"
"273","171897","txl-1"
"274","171898","mab-31"
"275","171900","zip-4"
"276","171901","nol-58"
"277","171903","W01B11.6"
"278","171904","W01B11.1"
"279","171905","ace-2"
"280","171906","cdap-2"
"281","171907","edc-4"
"282","171908","W05F2.3"
"283","171909","W05F2.6"
"284","171911","cdk-2"
"285","171912","sep-1"
"286","171913","tag-63"
"287","171914","msh-6"
"288","171915","spg-7"
"289","171916","Y47G6A.9"
"290","171917","crn-1"
"291","171918","Y47G6A.7"
"292","171919","Y47G6A.18"
"293","171920","pcaf-1"
"294","171921","Y47G6A.19"
"295","171922","rnp-6"
"296","171923","rde-10"
"297","171924","Y47G6A.21"
"298","171925","Y47G6A.22"
"299","171926","lpd-3"
"300","171927","mis-12"
"301","171928","Y47G6A.25"
"302","171929","inx-22"
"303","171930","inx-21"
"304","171931","Y47G6A.26"
"305","171932","jmjc-1"
"306","171933","ccb-1"
"307","171934","ftn-2"
"308","171935","rab-8"
"309","171936","D1037.1"
"310","171937","ipla-4"
"311","171938","msh-2"
"312","171939","hus-1"
"313","171941","glh-4"
"314","171942","larp-5"
"315","171943","inx-13"
"316","171944","inx-12"
"317","171945","C32E8.6"
"318","171946","C32E8.5"
"319","171947","C32E8.4"
"320","171948","tppp-1"
"321","171949","rpl-13"
"322","171950","ptr-2"
"323","171951","C32E8.9"
"324","171952","unc-11"
"325","171953","ubr-1"
"326","171954","npp-11"
"327","171955","F53F10.7"
"328","171956","unc-108"
"329","171957","mpc-2"
"330","171958","F53F10.2"
"331","171959","F53F10.1"
"332","171960","gsp-4"
"333","171961","T03F1.6"
"334","171962","T03F1.11"
"335","171963","guk-1"
"336","171964","hcp-4"
"337","171965","pgk-1"
"338","171966","coq-4"
"339","171967","clec-53"
"340","171968","uba-5"
"341","171969","T03F1.12"
"342","171970","syf-1"
"343","171972","C50F2.2"
"344","171973","C50F2.5"
"345","171974","fkb-5"
"346","171975","pbs-4"
"347","171976","mrrf-1"
"348","171977","T20F5.4"
"349","171978","T20F5.6"
"350","171979","T20F5.7"
"351","171980","egg-4"
"352","171981","lrp-2"
"353","171982","F47B3.6"
"354","171983","F47B3.7"
"355","171984","F47B3.1"
"356","171985","aars-2"
"357","171986","cpn-3"
"358","171987","F28H1.1"
"359","171988","unc-73"
"360","171990","unc-89"
"361","171992","acd-2"
"362","171993","cyb-2.2"
"363","171994","lin-44"
"364","171995","let-504"
"365","171996","E01A2.2"
"366","171997","akir-1"
"367","171998","E01A2.1"
"368","171999","poml-2"
"369","172000","R12E2.15"
"370","172001","R12E2.14"
"371","172002","R12E2.7"
"372","172003","R12E2.8"
"373","172004","inx-15"
"374","172005","inx-16"
"375","172006","inx-17"
"376","172007","egg-5"
"377","172008","R12E2.11"
"378","172009","rpn-8"
"379","172010","R12E2.13"
"380","172011","suco-1"
"381","172012","kel-20"
"382","172013","ppw-1"
"383","172015","snrp-40.2"
"384","172016","C18E3.3"
"385","172017","hop-1"
"386","172018","swsn-2.2"
"387","172019","C18E3.1"
"388","172020","C18E3.9"
"389","172021","nab-1"
"390","172022","C43E11.5"
"391","172023","exoc-7"
"392","172024","tufm-2"
"393","172025","cogc-5"
"394","172026","met-1"
"395","172027","mus-81"
"396","172028","C43E11.9"
"397","172029","cdc-6"
"398","172030","acin-1"
"399","172031","Y47D9A.5"
"400","172032","scpl-3"
"401","172033","Y47D9A.1"
"402","172034","anc-1"
"403","172035","pdp-1"
"404","172036","ZK973.9"
"405","172037","lpd-5"
"406","172038","cec-10"
"407","172039","ZK973.11"
"408","172040","ZK973.1"
"409","172041","dhc-1"
"410","172044","eif-3.H"
"411","172045","cps-6"
"412","172046","cmt-1"
"413","172047","eri-7"
"414","172050","eri-6"
"415","172051","gcy-28"
"416","172052","mrpl-19"
"417","172053","rnf-145"
"418","172054","bet-1"
"419","172056","Y119C1B.1"
"420","172058","D1007.15"
"421","172059","ceh-17"
"422","172060","D1007.5"
"423","172061","rps-10"
"424","172062","rpl-24.1"
"425","172064","nrd-1"
"426","172065","eaf-1"
"427","172066","D1007.8"
"428","172067","C44E4.5"
"429","172068","ubr-4"
"430","172070","ssb-1"
"431","172071","acbp-1"
"432","172072","got-2.1"
"433","172073","lmd-2"
"434","172074","rpl-4"
"435","172075","B0041.5"
"436","172076","ain-2"
"437","172077","xnp-1"
"438","172078","unc-57"
"439","172079","chd-7"
"440","172081","W09C3.4"
"441","172082","gsp-3"
"442","172083","W09C3.7"
"443","172085","ugt-26"
"444","172086","ugt-28"
"445","172087","ugt-25"
"446","172088","let-502"
"447","172089","viln-1"
"448","172090","kca-1"
"449","172091","M04F3.3"
"450","172092","rpa-2"
"451","172093","M04F3.5"
"452","172094","rpl-41.1"
"453","172095","rpl-41.2"
"454","172096","zig-7"
"455","172097","ept-1"
"456","172098","tofu-4"
"457","172099","htp-3"
"458","172100","F57C9.4"
"459","172101","pdxk-1"
"460","172102","rga-6"
"461","172103","glc-2"
"462","172104","F25F8.1"
"463","172105","unc-38"
"464","172106","icmt-1"
"465","172107","F21F3.2"
"466","172108","pgal-1"
"467","172109","F21F3.6"
"468","172110","imb-1"
