Name,Stat,logCPM,T,PValue,FDR
Y48E1B.14,0.079845099,8.44739526,0.399259059,0.698867469,0.828160378
"T01G9.2, T01G9.3",NA,NA,NA,NA,NA
F56B3.11,NA,NA,NA,NA,NA
vit-4,-0.218517956,2.485603431,-1.531735165,0.159423585,0.290708156
NA,NA,NA,NA,NA,NA
col-160,0.377304853,13.67242793,2.228052411,0.052414854,0.12171839
NA,NA,NA,NA,NA,NA
cyp-23A1,-0.139612574,2.359190641,-1.346637409,0.2105253,0.35524555
NA,NA,NA,NA,NA,NA
ntl-2,0.066497339,9.743220917,0.725518519,0.486287607,0.645444341
vap-1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
lin-9,NA,NA,NA,NA,NA
F23F12.9,0.129059476,7.713936937,0.240780228,0.815037784,0.915524886
tag-174,NA,NA,NA,NA,NA
col-147,NA,NA,NA,NA,NA
sex-1,-0.513245497,6.486371039,-2.787139171,0.020844222,0.058789233
T12G3.1,2.118947613,11.17033352,14.29494735,1.45E-07,7.64E-06
unc-44,NA,NA,NA,NA,NA
K03C7.1,0.469727272,10.18605525,3.36868189,0.008090714,0.027605787
clh-1,NA,NA,NA,NA,NA
C44B12.5,-0.00019981,5.109710226,-0.004964307,0.9961457,1
skr-8,2.55640527,6.07104184,3.491916308,0.006646701,0.023627077
cpg-8,NA,NA,NA,NA,NA
F54D12.4,NA,NA,NA,NA,NA
ptr-11,0.918229197,5.294209497,3.309840889,0.008892045,0.029678706
F15G9.1,0.140357293,8.959030065,0.291468487,0.777197464,0.88865985
F22E5.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
W05H7.1,-0.092010933,6.863614604,-1.335987704,0.213850264,0.35912106
NA,NA,NA,NA,NA,NA
C38D4.1,-0.054313992,5.270819268,-0.696031065,0.503716202,0.661433296
C18C4.5,0.202869568,8.968698251,0.732579723,0.482171267,0.641924962
pek-1,NA,NA,NA,NA,NA
Y15E3A.4,NA,NA,NA,NA,NA
hpl-2,NA,NA,NA,NA,NA
col-94,0.203016818,14.80907316,1.598386681,0.143892134,0.269427423
hpl-2,NA,NA,NA,NA,NA
F49E2.5,NA,NA,NA,NA,NA
