"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"WP_B_Cell_Receptor_Signaling_Pathway%WP23",0.00145772594752187,0.0133608917103418,0.493915368558084,1.71728655458723,0,84,"NFKBIA"|"NFKB1"|"BCL10"|"REL"|"CRKL"|"KLF11"|"ETS1"|"PIP5K1A"|"JUN"|"FOXO1"|"RELA"|"MYC"|"CREB1"|"GSK3B"|"MEF2D"|"E2F3"|"BCL6"|"RASGRP3"|"MAX"|"BRAF"|"PDPK1"|"RAF1"|"NCK1"|"CHUK"|"ATF2"|"LAT2"|"PIP5K1B"|"TEC"|"HCLS1"|"IRF4"|"GAB2"|"ELK1"|"RAPGEF1"|"CBL"
"WP_White_fat_cell_differentiation%WP4149",0.00165562913907285,0.0133608917103418,0.655159892006815,1.87416977017928,0,29,"DDIT3"|"KLF4"|"CEBPB"|"NR3C1"|"KLF5"|"STAT5A"|"FOXO1"|"CREB1"|"EGR2"|"GATA3"|"RARA"|"TLE3"|"TCF7L1"|"RORA"|"KLF2"|"EBF1"|"IRF4"
"WP_Oxidative_Damage%WP3941",0.00163934426229508,0.0133608917103418,0.633692640233571,1.84056556442529,0,31,"NFKB1"|"NFKBIE"|"GADD45A"|"CDKN1B"|"TRAF1"|"MAP3K1"|"MAP2K4"|"TNF"|"TRAF3"|"APAF1"|"TRAF6"|"C1R"|"C2"|"TRAF2"
"WP_IL-1_signaling_pathway%WP195",0.00158730158730159,0.0133608917103418,0.597589548162874,1.91830313280288,0,52,"NFKBIA"|"NFKB1"|"IRAK2"|"IL1A"|"CCL2"|"NFKBIB"|"TAB2"|"REL"|"MAP2K3"|"JUN"|"TAB3"|"RELA"|"MAP3K1"|"MAP2K4"|"MYD88"|"MAP3K2"|"MAPKAPK2"|"TRAF6"|"PELI1"|"CHUK"
"WP_miRNAs_involvement_in_the_immune_response_in_sepsis%WP4329",0.00163398692810458,0.0133608917103418,0.772217852794135,2.20310300941458,0,28,"NFKBIA"|"NFKB1"|"NFKB2"|"IRF1"|"IL1A"|"TAB2"|"IRF7"|"RELB"|"ICAM1"|"REL"|"RELA"|"IL6"|"MYD88"|"TNF"|"TRAF3"|"TRAF6"|"CHUK"|"CCL4"
"WP_Integrated_Breast_Cancer_Pathway%WP1984",0.00134048257372654,0.0133608917103418,0.453133833402094,1.66472630791,0,141,"NFKB1"|"FOSL1"|"ODC1"|"GADD45A"|"WEE1"|"USP15"|"FOSL2"|"STAT1"|"CASP8"|"PML"|"TSC1"|"JUN"|"CDK7"|"FOXO1"|"MYC"|"NCOA3"|"RPP38"|"HIPK2"|"TPR"|"SMARCA4"|"CREB1"|"PIAS1"|"CCNB1IP1"|"SMAD7"|"PLK3"|"MAP3K13"|"SP1"|"USP21"|"RASGRP3"|"MAX"|"ZMYND8"|"KRAS"|"SIRT1"|"EP300"|"PTEN"|"BRAF"|"PLK1"|"SMAD1"|"PIGR"|"SMAD2"|"RALA"|"CHUK"|"ATF1"|"AHR"|"NF1"
"WP_Type_II_interferon_signaling_(IFNG)%WP619",0.00163398692810458,0.0133608917103418,0.745459354574173,2.12676221032206,0,28,"IRF1"|"STAT2"|"SOCS3"|"HLA-B"|"ISG15"|"ICAM1"|"STAT1"|"EIF2AK2"|"IRF9"|"OAS1"|"IFNGR2"|"IRF2"|"PSMB9"|"TAP1"|"JAK2"|"IFNB1"|"SOCS1"|"GBP1"|"IFI6"
"WP_Hematopoietic_Stem_Cell_Differentiation%WP2849",0.00162866449511401,0.0133608917103418,0.635517082895831,1.87173073752852,0,33,"PIM1"|"IL1A"|"FOS"|"FOSB"|"CSF1"|"RIOK3"|"STAT5A"|"IL6"|"ITGB3"|"MIR221"|"RUNX1"|"CSF2"|"SEC14L2"|"LMO2"|"MXI1"|"CSF3"|"MUC1"|"IL1B"|"IRF5"
"WP_EBV_LMP1_signaling%WP262",0.00169779286926995,0.0133608917103418,0.679094476206462,1.82491121250086,0,22,"NFKBIA"|"NFKB1"|"CCL20"|"NFKB2"|"TRAF1"|"RELA"|"TNF"|"IFNB1"|"TRAF6"|"CHUK"
"WP_Transcription_factor_regulation_in_adipogenesis%WP3599",0.00169491525423729,0.0133608917103418,0.694387542057686,1.81996122941454,0,19,"NRIP1"|"CEBPB"|"NR3C1"|"FOXO1"|"CREB1"|"IL6"|"TNF"|"IRS2"|"TWIST1"|"PPARGC1A"
"WP_TGF-beta_Signaling_Pathway%WP366",0.00136798905608755,0.0133608917103418,0.496931282980259,1.80413384081397,0,123,"ATF3"|"KLF6"|"NEDD4L"|"SNIP1"|"ZEB2"|"DCP1A"|"FOS"|"SKIL"|"NEDD9"|"FOSB"|"KLF11"|"SMAD3"|"SMURF1"|"ETS1"|"PML"|"SIK1"|"SIN3A"|"MAP2K3"|"JUN"|"JUND"|"RNF111"|"SPTBN1"|"MYC"|"CREBBP"|"SMURF2"|"MAP2K4"|"PIAS1"|"SNW1"|"SMAD7"|"NUP153"|"ITCH"|"SP1"|"ITGB3"|"JUNB"|"PPM1A"|"RUNX2"|"EP300"|"TRAF6"|"SMAD2"|"RAF1"|"E2F4"
"WP_Toll-like_Receptor_Signaling_Pathway%WP75",0.00151057401812689,0.0133608917103418,0.536604767403552,1.82927129776429,0,74,"NFKBIA"|"NFKB1"|"NFKBIB"|"TAB2"|"IRF7"|"FOS"|"TBK1"|"STAT1"|"MAP3K8"|"CASP8"|"MAP2K3"|"JUN"|"TAB3"|"RELA"|"TICAM1"|"MAP2K4"|"IL6"|"MYD88"|"TNF"|"TRAF3"|"AKT3"|"IFNB1"|"TRAF6"|"CXCL11"|"CHUK"|"CCL4"
"WP_Neural_Crest_Differentiation%WP2064",0.00153609831029186,0.0133608917103418,0.490250636595547,1.65596486098351,0,70,"NFKB1"|"NFKB2"|"HES1"|"ETS1"|"MSX2"|"MYC"|"RHOB"|"ZIC5"|"SOX9"|"GSK3B"|"COL2A1"|"SNAI1"|"SMAD1"|"HDAC9"|"MBP"|"TWIST1"|"DLL1"|"RBPJ"|"PRTG"|"TCF7L1"|"HDAC5"|"HDAC3"|"TFAP2A"|"AXIN2"|"CTNNB1"
"WP_TNF_related_weak_inducer_of_apoptosis_(TWEAK)_Signaling_Pathway%WP2036",0.00165837479270315,0.0133608917103418,0.687532629722647,2.09054076522886,0,40,"NFKBIA"|"NFKB1"|"NFKB2"|"BIRC3"|"CCL2"|"NFKBIB"|"BIRC2"|"RELB"|"TRAF1"|"CASP8"|"JUN"|"RELA"|"IL6"|"GSK3B"|"TNF"|"TRAF3"
