"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"WP_Oxidative_Damage%WP3941",0.00137551581843191,0.0170027865677986,0.787728164390735,1.94085476835998,0,32,"NFKBIE"|"CDKN1B"|"C1R"|"C1S"|"NFKB1"|"GADD45A"|"APAF1"|"C5"|"TNF"|"BAG4"|"MAP3K9"|"MAP2K4"|"MAP3K1"|"TRAF6"
"WP_IL-1_signaling_pathway%WP195",0.00131926121372032,0.0170027865677986,0.66562297441584,1.76923954034195,0,51,"NFKBIA"|"CCL2"|"JUN"|"NFKBIB"|"NFKB1"|"REL"|"TAB3"|"IL1A"|"IRAK2"|"TAB2"|"PELI1"|"CHUK"|"MAP2K4"|"MAP3K1"|"TRAF6"|"MAPKAPK2"|"UBE2N"|"IL1R1"|"ATF2"
"WP_miRNAs_involvement_in_the_immune_response_in_sepsis%WP4329",0.00144717800289436,0.0170027865677986,0.827989438496797,1.94142823534773,0,27,"NFKBIA"|"IRF1"|"ICAM1"|"NFKB1"|"REL"|"RELB"|"NFKB2"|"TNF"|"IL1A"|"TAB2"|"CHUK"|"IRF7"|"TRAF6"|"CCL4"
"WP_Histone_Modifications%WP2369",0.00139082058414465,0.0170027865677986,0.713089518294232,1.72495681763144,0,30,"AEBP2"|"SETD2"|"SETD5"|"EED"|"ASH1L"|"SETD1B"|"EZH1"|"NSD1"|"SETDB1"|"SETD1A"
"WP_ATM_Signaling_Pathway%WP2516",0.00139082058414465,0.0170027865677986,0.673342987309353,1.671365892463,0,34,"NFKBIA"|"JUN"|"MDM4"|"MDM2"|"GADD45A"|"CREB1"|"TLK1"|"CDK1"|"ATF2"|"CHEK2"
"WP_Toll-like_Receptor_Signaling_Pathway%WP75",0.00126903553299492,0.0170027865677986,0.685861518228889,1.89572355356586,0,67,"NFKBIA"|"FOS"|"MAP3K8"|"JUN"|"NFKBIB"|"NFKB1"|"LBP"|"TBK1"|"TICAM1"|"STAT1"|"TAB3"|"TNF"|"TAB2"|"CHUK"|"IRF7"|"MAP2K4"|"TRAF6"|"CCL4"
"WP_Neural_Crest_Differentiation%WP2064",0.00126903553299492,0.0170027865677986,0.591868397641316,1.63592625070631,0,67,"ID1"|"HES1"|"RBPJ"|"NFKB1"|"HDAC9"|"NFKB2"|"COL2A1"|"FOXD3"|"GSK3B"|"HDAC5"|"ZIC5"|"PRTG"|"DLL4"|"NOTCH1"|"COL11A2"|"SOX9"|"HDAC4"|"MSX2"|"SNAI1"|"FGF2"
"WP_TNF_related_weak_inducer_of_apoptosis_(TWEAK)_Signaling_Pathway%WP2036",0.00138888888888889,0.0170027865677986,0.696445185324095,1.74806427701476,0,37,"NFKBIA"|"CCL2"|"JUN"|"NFKBIB"|"NFKB1"|"RELB"|"NFKB2"|"BIRC3"|"TNF"|"GSK3B"|"CHUK"
"WP_Lung_fibrosis%WP3624",0.00139082058414465,0.0170027865677986,0.677343756651491,1.68129656605445,0,34,"CXCL2"|"CCL2"|"SKIL"|"CEBPB"|"TNF"|"NFE2L2"|"CSF3"|"PTX3"|"CCL4"|"SMAD7"|"HMOX1"
"WP_Initiation_of_transcription_and_translation_elongation_at_the_HIV-1_LTR%WP3414",0.00139082058414465,0.0170027865677986,0.69333213535807,1.67716389469547,0,30,"NFKBIA"|"CCNT1"|"NFKB1"|"HDAC9"|"SP1"|"HDAC5"|"HEXIM1"|"EP300"|"PPP3R1"|"HDAC4"|"CREBBP"
