"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"KEGG_Ribosome%hsa03010",0.00174825174825175,0.0159148156629265,-0.529855642859918,-2.05740158976049,0,126,"RPL3"|"RPSA"|"RPLP0"|"RPS28"|"RPS5"|"RPL13"|"RPL18"|"RPS3A"|"MRPL20"|"RPL41"|"RPL8"|"RPL7A"|"MRPS2"|"RPL10"|"RPS3"|"RPL36AL"|"MRPS12"|"RPL4"|"RPS19"|"RPS9"|"MRPL4"|"RPL19"|"RPL14"|"MRPL28"|"RPL7"|"RPL10A"|"RPL18A"|"RPL5"|"RPLP1"|"MRPL11"|"MRPS18A"|"RPS18"|"RPL6"|"RPS14"|"MRPL12"|"MRPL23"|"MRPS7"|"MRPL32"|"RPL24"|"RPS4Y1"|"MRPL14"|"FAU"|"RPL13A"|"RPS16"|"MRPL24"|"MRPL22"
"KEGG_Spliceosome%hsa03040",0.00174825174825175,0.0159148156629265,-0.456395428802325,-1.77215944272877,0,126,"SF3B5"|"DDX5"|"TCERG1"|"XAB2"|"HSPA8"|"PUF60"|"DDX42"|"DDX23"|"PQBP1"|"SRSF5"|"DHX38"|"SF3A3"|"LSM7"|"SF3B1"|"SNRPA1"|"SNRNP200"|"SRSF7"|"CCDC12"|"PRPF6"|"HNRNPM"|"CTNNBL1"|"PPIE"|"LSM4"|"SRSF10"|"PRPF8"|"SRSF9"|"CHERP"|"SART1"|"SLU7"|"ISY1"|"HNRNPK"|"DHX16"|"PRPF4"|"DHX15"|"PRPF31"|"EFTUD2"|"SNRPD2"|"ALYREF"|"U2AF1"|"PRPF38B"|"PRPF19"|"EIF4A3"|"SNRNP70"|"HSPA2"|"THOC1"|"TRA2B"|"RBM8A"|"SRSF8"|"THOC2"|"PPIH"|"PHF5A"|"U2AF1L4"|"RBM17"|"SNW1"|"USP39"|"U2SURP"|"SNRPC"|"CDC40"
"KEGG_Proteasome%hsa03050",0.00168634064080944,0.0159148156629265,-0.570169955910733,-1.81108691067618,0,43,"PSMC3"|"PSMD3"|"PSMC5"|"PSMB1"|"PSMD2"|"PSMB5"|"PSMC1"|"ADRM1"|"PSMC6"|"PSMD6"|"PSMD4"|"PSMD8"|"PSMD13"|"PSMB10"|"PSMB7"|"PSMB8"|"PSMA7"|"PSMB4"
"KEGG_cGMP-PKG_signaling_pathway%hsa04022",0.00175438596491228,0.0159148156629265,-0.41129123026708,-1.58417465789619,0,122,"RAF1"|"SLC25A4"|"MEF2D"|"PPP3R1"|"ITPR1"|"ATF4"|"ATP1A1"|"ADCY6"|"SLC25A6"|"PPP1CA"|"GNA12"|"NFATC2"|"NFATC3"|"PPP1R12A"|"EDNRA"|"ATF6B"|"MAPK1"|"NFATC1"|"INSR"|"NFATC4"|"CREB3L2"|"PDE2A"|"ITPR3"|"AKT3"|"PLCB3"|"CREB3"|"MYLK"|"PPP3CC"|"AKT2"|"CALML4"|"TRPC6"|"CACNA1C"|"PRKCE"|"ADCY9"|"ADCY4"|"NPR2"|"GTF2I"|"RGS2"|"ATP2A3"|"KCNJ8"
"KEGG_Cytokine-cytokine_receptor_interaction%hsa04060",0.00230414746543779,0.0159148156629265,0.603011572176592,2.45681960474774,0,176,"CCL8"|"IL2RG"|"CCL11"|"CCL4"|"TNFSF10"|"CSF3R"|"IL1RN"|"CCL19"|"TNFSF13B"|"CCL7"|"TNF"|"TNFSF14"|"CCL18"|"CCR1"|"CXCL16"|"CSF2RB"|"CXCL17"|"CCL2"|"CXCL10"|"TNFSF8"|"CTF1"|"IL18RAP"|"CXCL6"|"CD4"|"IL1A"|"CCL3"|"IL1R2"|"FAS"|"CXCR2"|"IL1RL1"|"TNFRSF17"|"IL21R"|"IL1B"|"CXCL11"|"IL11"|"IL18"|"IL12RB2"|"TNFRSF10C"|"TNFRSF21"|"GDF15"|"BMP2"|"TNFRSF11B"|"CXCR1"|"CXCL13"|"IL20RA"|"CCL5"|"TGFB1"|"IL6ST"|"IL36G"
"KEGG_Viral_protein_interaction_with_cytokine_and_cytokine_receptor%hsa04061",0.00242130750605327,0.0159148156629265,0.714483586433694,2.4889462092033,0,69,"CCL8"|"IL2RG"|"CCL11"|"CCL4"|"TNFSF10"|"CCL19"|"CCL7"|"TNF"|"TNFSF14"|"CCL18"|"CCR1"|"CCL2"|"CXCL10"|"IL18RAP"|"CXCL6"|"CCL3"|"CXCR2"|"CXCL11"|"IL18"|"TNFRSF10C"|"CXCR1"|"CXCL13"|"IL20RA"|"CCL5"|"IL6ST"|"IL2RA"
"KEGG_Chemokine_signaling_pathway%hsa04062",0.00228310502283105,0.0159148156629265,0.556514852391169,2.22064666206946,0,153,"CCL8"|"CCL11"|"CCL4"|"WAS"|"CCL19"|"ARRB2"|"RAC2"|"PTK2B"|"FGR"|"GNG5"|"CCL7"|"GNG2"|"CCL18"|"CCR1"|"CXCL16"|"STAT1"|"LYN"|"HCK"|"CCL2"|"CXCL10"|"STAT2"|"JAK3"|"CXCL6"|"GSK3A"|"PAK1"|"CCL3"|"CXCR2"|"RHOA"|"ADCY7"|"GNB4"|"CXCL11"|"GNAQ"|"JAK2"|"CDC42"|"CXCR1"|"CXCL13"|"BRAF"|"CCL5"|"CHUK"|"VAV1"|"GNAI3"|"GNB1"|"PRKACB"|"VAV3"
"KEGG_NF-kappa_B_signaling_pathway%hsa04064",0.00242130750605327,0.0159148156629265,0.487046868510463,1.76959712307189,0,92,"BCL2A1"|"LY96"|"CCL4"|"CCL19"|"TNFSF13B"|"DDX58"|"TNF"|"TNFSF14"|"LYN"|"LBP"|"TLR4"|"CFLAR"|"MYD88"
"KEGG_Phagosome%hsa04145",0.00230414746543779,0.0159148156629265,0.528863457777157,2.05440249599646,0,130,"OLR1"|"ACTB"|"CYBB"|"HLA-DRB5"|"FCGR2A"|"CLEC7A"|"FCAR"|"FCGR1A"|"HLA-A"|"NCF4"|"HLA-B"|"SFTPA2"|"CTSS"|"FCGR3B"|"ATP6V0C"|"SFTPA1"|"NCF2"|"FCGR3A"|"FCGR2B"|"TLR4"|"HLA-C"|"HLA-DPA1"|"ATP6V1C1"|"FCGR2C"|"CALR"|"SEC22B"|"MSR1"|"TLR2"|"ATP6V1B2"|"ITGAM"|"HLA-DQA1"|"CANX"|"LAMP2"|"RAB7A"|"HLA-DPB1"|"CD209"|"STX12"|"MPO"|"HLA-DRA"|"ATP6V0E1"|"TLR6"|"HLA-G"
"KEGG_Necroptosis%hsa04217",0.00233100233100233,0.0159148156629265,0.458010363117208,1.72371800220631,0,107,"EIF2AK2"|"TNFSF10"|"ZBP1"|"TNF"|"CYBB"|"STAT1"|"IRF9"|"STAT4"|"STAT2"|"JAK3"|"FTH1"|"CHMP5"|"TLR4"|"CFLAR"|"IL1A"|"PYGL"|"CASP1"|"FAS"|"MLKL"|"IL1B"|"JAK2"
